Channel Name,Instagram Used,Profiles Visited,Bio Links Found,Business Accounts Found,Status
Saamir Mithwani,N,,,,not triggered
Shahid Anwar,N,,,,not triggered
Baddie In Business,N,,,,not triggered
Faruk Ilkhan,N,,,,not triggered
Dropship Breakthru,N,,,,not triggered
Austin Rabin,N,,,,not triggered
Davie Fogarty,N,,,,not triggered
Zain Shah,N,,,,not triggered
Marcus Lam | High Ticket Dropshipping (AI),N,,,,not triggered
Chirag Ecom ,N,,,,not triggered
Jordan Welch,Y,"@jordanwelch, @aicomacademy, @1800bankroll",https://youtube.com/@jordanwelch | https://www.aicom.co/apply | https://youtu.be/BMSg3bRrGnE?si=njB8uoSIKiOYFPxM,"@aicomacademy, @1800bankroll, @2up",ok
Wholesale Ted,N,,,,not triggered
Trevor Zheng | High Ticket Dropshipping,N,,,,not triggered
Ac Hampton,N,,,,not triggered
Andy Stauring,N,,,,not triggered
